,,1065,1104,1002,1004,1126,1005,1007,1008,1105,1009,1010,1117,1109,1011,1100,1012,1013,1014,1003,1015,1106,1016,1017,1018,1019,1020,1021,1022,1001,1073,1024,1097,1027,1028,1029,1030,1031,1033,1034,1035,1036,1037,1038,1124,1039,1040,1041,1112,1042,1044,1045,1047,1048,1049,1050,1077,1051,1052,1125,1053,1107,1054,1055,1056,1116,1129,1111,1057,1058,1059,1122,1060,1061,1062,1063,1064,1123,1066,1067,1006,1068,1069,1113,1032,1114,1115,1025,1071,1072,1074,1075,1076,1095,1078,1070,1080,1081,1082,1083,1084,1085,1086,1087,1110,1118,1088,1127,1089,1090,1091,1119,1026,1092,1093,1120,1079,1043,1121,1094,1096,1098,1102,1099,1101,1023,1103,2001,2101,2029,2095,2092,2102,2064,2002,2003,2005,2006,2008,2009,2076,2010,2011,2026,2012,2014,2090,2019,2016,2020,2086,2021,2022,2023,2093,2024,2103,2025,2075,2098,2017,2027,2087,2030,2031,2104,2047,2081,2032,2094,2034,2050,2062,2084,2035,2096,2037,2038,2097,2039,2083,2040,2088,2041,2072,2100,2046,2091,2048,2049,2051,2077,2067,2054,2055,2057,2058,2065,2060,2061,2079,3014,3006,3016,3017,3001,3002,3007,3009,3015,3008,3012,3003,3018,3013,3004,3005,4011,4013,4017,4020,4039,4052,4096,4088
Acil Yardım ve Afet Yönetimi,quota,,,,,,,,64,,,,,,,,42,42,54,,,,,,42,,,,,,42,,,64,,,,,,,,,42,,,,,,,,,,32,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,54,,,,,,,,,,,42,,,,64,,,,,,,,54,42,32,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acil Yardım ve Afet Yönetimi,enrollments,,,,,,,,64,,,,,,,,42,41,54,,,,,,41,,,,,,42,,,64,,,,,,,,,42,,,,,,,,,,31,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,54,,,,,,,,,,,42,,,,62,,,,,,,,54,42,32,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acil Yardım ve Afet Yönetimi (İngilizce) (%50 İndirimli),quota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,
Acil Yardım ve Afet Yönetimi (İngilizce) (%50 İndirimli),enrollments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Acil Yardım ve Afet Yönetimi (İngilizce) (Burslu),quota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
Acil Yardım ve Afet Yönetimi (İngilizce) (Burslu),enrollments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
Acil Yardım ve Afet Yönetimi (İngilizce) (Ücretli),quota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,
Acil Yardım ve Afet Yönetimi (İngilizce) (Ücretli),enrollments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Acil Yardım ve Afet Yönetimi (İÖ),quota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acil Yardım ve Afet Yönetimi (İÖ),enrollments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adli Bilimler,quota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
