uni_type,city,uni_name,uni_code
Devlet,Kayseri,ABDULLAH GÜL ÜNİVERSİTESİ,1065
Vakıf,İstanbul,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,2001
Devlet,Adana,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104
Devlet,Adıyaman,ADIYAMAN ÜNİVERSİTESİ,1002
Devlet,Afyonkarahisar,AFYON KOCATEPE ÜNİVERSİTESİ,1004
Devlet,Afyonkarahisar,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,1126
Devlet,Ağrı,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,1005
Devlet,Antalya,AKDENİZ ÜNİVERSİTESİ,1007
Devlet,Aksaray,AKSARAY ÜNİVERSİTESİ,1008
Devlet,Antalya,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,1105
Vakıf,Antalya,ALANYA ÜNİVERSİTESİ,2101
Vakıf,İstanbul,ALTINBAŞ ÜNİVERSİTESİ,2029
Devlet,Amasya,AMASYA ÜNİVERSİTESİ,1009
Devlet,Eskişehir,ANADOLU ÜNİVERSİTESİ,1010
Vakıf,Ankara,ANKARA BİLİM ÜNİVERSİTESİ,2095
Devlet,Ankara,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,1117
Vakıf,Ankara,ANKARA MEDİPOL ÜNİVERSİTESİ,2092
Devlet,Ankara,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,1109
Devlet,Ankara,ANKARA ÜNİVERSİTESİ,1011
Devlet,Ankara,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,1100
Vakıf,Antalya,ANTALYA BELEK ÜNİVERSİTESİ,2102
Vakıf,Antalya,ANTALYA BİLİM ÜNİVERSİTESİ,2064
Devlet,Ardahan,ARDAHAN ÜNİVERSİTESİ,1012
Devlet,Artvin,ARTVİN ÇORUH ÜNİVERSİTESİ,1013
Devlet,Erzurum,ATATÜRK ÜNİVERSİTESİ,1014
Vakıf,Ankara,ATILIM ÜNİVERSİTESİ,2002
Vakıf,Trabzon,AVRASYA ÜNİVERSİTESİ,2003
Devlet,Aydın,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,1003
Vakıf,İstanbul,BAHÇEŞEHİR ÜNİVERSİTESİ,2005
Devlet,Balıkesir,BALIKESİR ÜNİVERSİTESİ,1015
Devlet,Balıkesir,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,1106
Devlet,Bartın,BARTIN ÜNİVERSİTESİ,1016
Vakıf,Ankara,BAŞKENT ÜNİVERSİTESİ,2006
Devlet,Batman,BATMAN ÜNİVERSİTESİ,1017
Devlet,Bayburt,BAYBURT ÜNİVERSİTESİ,1018
Vakıf,İstanbul,BEYKOZ ÜNİVERSİTESİ,2008
Vakıf,İstanbul,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,2009
