uni_code,type,name,city
1065,Devlet,ABDULLAH GÜL ÜNİVERSİTESİ,Kayseri
1104,Devlet,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,Adana
1002,Devlet,ADIYAMAN ÜNİVERSİTESİ,Adıyaman
1004,Devlet,AFYON KOCATEPE ÜNİVERSİTESİ,Afyonkarahisar
1126,Devlet,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,Afyonkarahisar
1005,Devlet,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,Ağrı
1007,Devlet,AKDENİZ ÜNİVERSİTESİ,Antalya
1008,Devlet,AKSARAY ÜNİVERSİTESİ,Aksaray
1105,Devlet,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,Antalya
1009,Devlet,AMASYA ÜNİVERSİTESİ,Amasya
1010,Devlet,ANADOLU ÜNİVERSİTESİ,Eskişehir
1117,Devlet,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,Ankara
1109,Devlet,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,Ankara
1011,Devlet,ANKARA ÜNİVERSİTESİ,Ankara
1100,Devlet,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,Ankara
1012,Devlet,ARDAHAN ÜNİVERSİTESİ,Ardahan
1013,Devlet,ARTVİN ÇORUH ÜNİVERSİTESİ,Artvin
1014,Devlet,ATATÜRK ÜNİVERSİTESİ,Erzurum
1003,Devlet,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,Aydın
1015,Devlet,BALIKESİR ÜNİVERSİTESİ,Balıkesir
1106,Devlet,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,Balıkesir
1016,Devlet,BARTIN ÜNİVERSİTESİ,Bartın
1017,Devlet,BATMAN ÜNİVERSİTESİ,Batman
1018,Devlet,BAYBURT ÜNİVERSİTESİ,Bayburt
1019,Devlet,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,Bilecik
1020,Devlet,BİNGÖL ÜNİVERSİTESİ,Bingöl
1021,Devlet,BİTLİS EREN ÜNİVERSİTESİ,Bitlis
1022,Devlet,BOĞAZİÇİ ÜNİVERSİTESİ,İstanbul
1001,Devlet,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Bolu
1073,Devlet,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Burdur
1024,Devlet,BURSA TEKNİK ÜNİVERSİTESİ,Bursa
1097,Devlet,BURSA ULUDAĞ ÜNİVERSİTESİ,Bursa
1027,Devlet,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,Çanakkale
1028,Devlet,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,Çankırı
1029,Devlet,ÇUKUROVA ÜNİVERSİTESİ,Adana
1030,Devlet,DİCLE ÜNİVERSİTESİ,Diyarbakır
1031,Devlet,DOKUZ EYLÜL ÜNİVERSİTESİ,İzmir
1033,Devlet,DÜZCE ÜNİVERSİTESİ,Düzce
1034,Devlet,EGE ÜNİVERSİTESİ,İzmir
1035,Devlet,ERCİYES ÜNİVERSİTESİ,Kayseri
1036,Devlet,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,Erzincan
1037,Devlet,ERZURUM TEKNİK ÜNİVERSİTESİ,Erzurum
1038,Devlet,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,Eskişehir
1124,Devlet,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Eskişehir
1039,Devlet,FIRAT ÜNİVERSİTESİ,Elazığ
1040,Devlet,GALATASARAY ÜNİVERSİTESİ,İstanbul
1041,Devlet,GAZİ ÜNİVERSİTESİ,Ankara
1112,Devlet,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,Gaziantep
1042,Devlet,GAZİANTEP ÜNİVERSİTESİ,Gaziantep
1044,Devlet,GEBZE TEKNİK ÜNİVERSİTESİ,Kocaeli
