uni_name,foundation_year,type,city,region,year
ABDULLAH GÜL ÜNİVERSİTESİ,21.07.2010,DEVLET,Kayseri,İÇ ANADOLU,2023
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,18.05.2007,VAKIF,İstanbul,MARMARA,2023
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,14.04.2011,DEVLET,Adana,AKDENİZ,2023
ADIYAMAN ÜNİVERSİTESİ,17.03.2006,DEVLET,Adıyaman,GÜNEYDOĞU ANADOLU,2023
AFYON KOCATEPE ÜNİVERSİTESİ,11.07.1992,DEVLET,Afyonkarahisar,EGE,2023
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Afyonkarahisar,EGE,2023
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,29.05.2007,DEVLET,Ağrı,DOĞU ANADOLU,2023
AKDENİZ ÜNİVERSİTESİ,20.07.1982,DEVLET,Antalya,AKDENİZ,2023
AKSARAY ÜNİVERSİTESİ,17.03.2006,DEVLET,Aksaray,İÇ ANADOLU,2023
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,23.04.2015,DEVLET,Antalya,AKDENİZ,2023
ALANYA ÜNİVERSİTESİ,03.03.2011,VAKIF,Antalya,AKDENİZ,2023
ALTINBAŞ ÜNİVERSİTESİ,22.05.2008,VAKIF,İstanbul,MARMARA,2023
AMASYA ÜNİVERSİTESİ,17.03.2006,DEVLET,Amasya,KARADENİZ,2023
ANADOLU ÜNİVERSİTESİ,30.11.1973,DEVLET,Eskişehir,İÇ ANADOLU,2023
ANKA TEKNOLOJİ ÜNİVERSİTESİ,18.06.2013,VAKIF,Ankara,İÇ ANADOLU,2023
ANKARA BİLİM ÜNİVERSİTESİ,17.04.2020,VAKIF,Ankara,İÇ ANADOLU,2023
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Ankara,İÇ ANADOLU,2023
ANKARA MEDİPOL ÜNİVERSİTESİ,18.05.2018,VAKIF,Ankara,İÇ ANADOLU,2023
ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,01.07.2017,DEVLET,Ankara,İÇ ANADOLU,2023
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,31.01.2013,DEVLET,Ankara,İÇ ANADOLU,2023
ANKARA ÜNİVERSİTESİ,13.06.1946,DEVLET,Ankara,İÇ ANADOLU,2023
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,21.07.2010,DEVLET,Ankara,İÇ ANADOLU,2023
ANTALYA BELEK ÜNİVERSİTESİ,23.04.2015,VAKIF,Antalya,AKDENİZ,2023
ANTALYA BİLİM ÜNİVERSİTESİ,21.07.2010,VAKIF,Antalya,AKDENİZ,2023
ARDAHAN ÜNİVERSİTESİ,22.05.2008,DEVLET,Ardahan,DOĞU ANADOLU,2023
ARTVİN ÇORUH ÜNİVERSİTESİ,29.05.2007,DEVLET,Artvin,KARADENİZ,2023
ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,16.03.2014,VAKIF MYO,İstanbul,MARMARA,2023
ATATÜRK ÜNİVERSİTESİ,31.05.1957,DEVLET,Erzurum,DOĞU ANADOLU,2023
ATILIM ÜNİVERSİTESİ,15.07.1997,VAKIF,Ankara,İÇ ANADOLU,2023
AVRASYA ÜNİVERSİTESİ,10.12.2010,VAKIF,Trabzon,KARADENİZ,2023
AYDIN ADNAN MENDERES ÜNİVERSİTESİ,11.07.1992,DEVLET,Aydın,EGE,2023
BAHÇEŞEHİR ÜNİVERSİTESİ,18.01.1998,VAKIF,İstanbul,MARMARA,2023
BALIKESİR ÜNİVERSİTESİ,11.07.1992,DEVLET,Balıkesir,MARMARA,2023
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,23.04.2015,DEVLET,Balıkesir,MARMARA,2023
BARTIN ÜNİVERSİTESİ,22.05.2008,DEVLET,Bartın,KARADENİZ,2023
BAŞKENT ÜNİVERSİTESİ,15.01.1994,VAKIF,Ankara,İÇ ANADOLU,2023
BATMAN ÜNİVERSİTESİ,29.05.2007,DEVLET,Batman,GÜNEYDOĞU ANADOLU,2023
BAYBURT ÜNİVERSİTESİ,22.05.2008,DEVLET,Bayburt,KARADENİZ,2023
BEYKOZ ÜNİVERSİTESİ,07.09.2016,VAKIF,İstanbul,MARMARA,2023
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,24.04.2010,VAKIF,İstanbul,MARMARA,2023
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,29.05.2007,DEVLET,Bilecik,MARMARA,2023
BİNGÖL ÜNİVERSİTESİ,29.05.2007,DEVLET,Bingöl,DOĞU ANADOLU,2023
BİRUNİ ÜNİVERSİTESİ,27.02.2014,VAKIF,İstanbul,MARMARA,2023
BİTLİS EREN ÜNİVERSİTESİ,29.05.2007,DEVLET,Bitlis,DOĞU ANADOLU,2023
BOĞAZİÇİ ÜNİVERSİTESİ,12.09.1971,DEVLET,İstanbul,MARMARA,2023
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,11.07.1992,DEVLET,Bolu,KARADENİZ,2023
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,17.03.2006,DEVLET,Burdur,AKDENİZ,2023
BURSA TEKNİK ÜNİVERSİTESİ,21.07.2010,DEVLET,Bursa,MARMARA,2023
BURSA ULUDAĞ ÜNİVERSİTESİ,11.04.1975,DEVLET,Bursa,MARMARA,2023
ÇAĞ ÜNİVERSİTESİ,15.07.1997,VAKIF,Mersin,AKDENİZ,2023
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,11.07.1992,DEVLET,Çanakkale,MARMARA,2023
ÇANKAYA ÜNİVERSİTESİ,15.07.1997,VAKIF,Ankara,İÇ ANADOLU,2023
ÇANKIRI KARATEKİN ÜNİVERSİTESİ,29.05.2007,DEVLET,Çankırı,İÇ ANADOLU,2023
ÇUKUROVA ÜNİVERSİTESİ,30.11.1973,DEVLET,Adana,AKDENİZ,2023
DEMİROĞLU BİLİM ÜNİVERSİTESİ,28.03.2006,VAKIF,İstanbul,MARMARA,2023
DİCLE ÜNİVERSİTESİ,30.11.1973,DEVLET,Diyarbakır,GÜNEYDOĞU ANADOLU,2023
DOĞUŞ ÜNİVERSİTESİ,15.07.1997,VAKIF,İstanbul,MARMARA,2023
DOKUZ EYLÜL ÜNİVERSİTESİ,20.07.1982,DEVLET,İzmir,EGE,2023
DÜZCE ÜNİVERSİTESİ,17.03.2006,DEVLET,Düzce,KARADENİZ,2023
EGE ÜNİVERSİTESİ,01.01.1955,DEVLET,İzmir,EGE,2023
ERCİYES ÜNİVERSİTESİ,20.07.1982,DEVLET,Kayseri,İÇ ANADOLU,2023
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,17.03.2006,DEVLET,Erzincan,DOĞU ANADOLU,2023
ERZURUM TEKNİK ÜNİVERSİTESİ,21.07.2010,DEVLET,Erzurum,DOĞU ANADOLU,2023
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,18.08.1993,DEVLET,Eskişehir,İÇ ANADOLU,2023
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,18.05.2018,DEVLET,Eskişehir,İÇ ANADOLU,2023
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,24.04.2010,VAKIF,İstanbul,MARMARA,2023
FENERBAHÇE ÜNİVERSİTESİ,24.11.2016,VAKIF,İstanbul,MARMARA,2023
FIRAT ÜNİVERSİTESİ,11.04.1975,DEVLET,Elazığ,DOĞU ANADOLU,2023
GALATASARAY ÜNİVERSİTESİ,06.06.1994,DEVLET,İstanbul,MARMARA,2023
GAZİ ÜNİVERSİTESİ,20.07.1982,DEVLET,Ankara,İÇ ANADOLU,2023
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,18.05.2018,DEVLET,Gaziantep,GÜNEYDOĞU ANADOLU,2023
GAZİANTEP ÜNİVERSİTESİ,27.06.1987,DEVLET,Gaziantep,GÜNEYDOĞU ANADOLU,2023
GEBZE TEKNİK ÜNİVERSİTESİ,11.07.1992,DEVLET,Kocaeli,MARMARA,2023
GİRESUN ÜNİVERSİTESİ,17.03.2006,DEVLET,Giresun,KARADENİZ,2023
GÜMÜŞHANE ÜNİVERSİTESİ,22.05.2008,DEVLET,Gümüşhane,KARADENİZ,2023
HACETTEPE ÜNİVERSİTESİ,08.07.1967,DEVLET,Ankara,İÇ ANADOLU,2023
HAKKARİ ÜNİVERSİTESİ,31.05.2008,DEVLET,Hakkari,DOĞU ANADOLU,2023
HALİÇ ÜNİVERSİTESİ,18.01.1998,VAKIF,İstanbul,MARMARA,2023
HARRAN ÜNİVERSİTESİ,11.07.1992,DEVLET,Şanlıurfa,GÜNEYDOĞU ANADOLU,2023
HASAN KALYONCU ÜNİVERSİTESİ,31.07.2008,VAKIF,Gaziantep,GÜNEYDOĞU ANADOLU,2023
